,Aleph system number (001),Carrier type term (338 $a),Chronological subdivision - 1 (650 $y),Chronological subdivision - 2 (650 $y),Chronological subdivision - 3 (650 $y),Chronological subdivision - 4 (650 $y),Chronological subdivision - 5 (650 $y),Chronological subdivision - 6 (650 $y),Chronological subdivision - 7 (650 $y),Content type term (336 $a),Corporate name or jurisdiction name as entry element (710 $a),Country (008/15-17),Date of manufacture (264 $c),Date/Time of an Event (033 $a),Devised title (245 $a),Extent (300 $a),Form of item (008/23),Geographic subdivision - 1 (650 $z),Geographic subdivision - 2 (650 $z),Geographic subdivision - 3 (650 $z),Geographic subdivision - 4 (650 $z),Geographic subdivision - 5 (650 $z),Geographic subdivision - 6 (650 $z),Geographic subdivision - 7 (650 $z),Language (008/35-37),Link text (856 $y),Manufacturer (264 $b),Media type term (337 $a),Other title - 1 (246 $a),Other title - 10 (246 $a),Other title - 11 (246 $a),Other title - 12 (246 $a),Other title - 13 (246 $a),Other title - 2 (246 $a),Other title - 3 (246 $a),Other title - 4 (246 $a),Other title - 5 (246 $a),Other title - 6 (246 $a),Other title - 7 (246 $a),Other title - 8 (246 $a),Other title - 9 (246 $a),Place of manufacture (264 $a),Relator term (710 $e),Source (336 $2),Source (337 $2),Source (338 $2),Title statement of original (534 $t),Topical term or geographic name entry element - 1 (650 $a),Topical term or geographic name entry element - 2 (650 $a),Topical term or geographic name entry element - 3 (650 $a),Topical term or geographic name entry element - 4 (650 $a),Topical term or geographic name entry element - 5 (650 $a),Topical term or geographic name entry element - 6 (650 $a),Topical term or geographic name entry element - 7 (650 $a)
83,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1835,[Miscellaneous Plymouth theatres playbill for Widow's Vow; Invincibles; Ou Les Femmes Soldats; Presumptive Evidence],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Widow's Vow,,,,,Invincibles; Ou Les Femmes Soldats,Presumptive Evidence,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Widow's Vow; Invincibles; Ou Les Femmes Soldats; Presumptive Evidence],Interlude,Drama,,,,,
84,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1857,"[Miscellaneous Plymouth theatres playbill for Vampire: Or, the Bride of the Isles; Wood Demon Or, the Clock Has Struck]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Vampire: Or, the Bride of the Isles",,,,,"Wood Demon Or, the Clock Has Struck",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Vampire: Or, the Bride of the Isles; Wood Demon Or, the Clock Has Struck]",Romantic Drama,Traditionary Romance,,,,,
85,,online resource,1829.0,1829.0,1829.0,,,,,text,British Library Playbills Project,enk,[2018],1842,"[Miscellaneous Plymouth theatres playbill for The Duel, Or, My Two Nephews; Oysters Sir; Idiot Witness; Irishman in London]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,"The Duel, Or, My Two Nephews",,,,,Oysters Sir,Idiot Witness,Irishman in London,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Duel, Or, My Two Nephews; Oysters Sir; Idiot Witness; Irishman in London]",Melodrama,Farce,Petite Comedy,,,,
86,,online resource,1796.0,1796.0,1796.0,,,,,text,British Library Playbills Project,enk,[2018],1835,"[Miscellaneous Plymouth theatres playbill for Zara; The Village Lawye, Or, a Devonshire Shepherd; Way to Get Married]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Zara,,,,,"The Village Lawye, Or, a Devonshire Shepherd",Way to Get Married,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Zara; The Village Lawye, Or, a Devonshire Shepherd; Way to Get Married]",Comedy,Farce,Tragedy,,,,
87,,online resource,1827.0,1827.0,,,,,,text,British Library Playbills Project,enk,[2018],1835,[Miscellaneous Plymouth theatres playbill for Simpson & Co; Faustus],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Simpson & Co,,,,,Faustus,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Simpson & Co; Faustus],Romantic Drama,Comedy,,,,,
88,,online resource,1833.0,1833.0,1833.0,,,,,text,British Library Playbills Project,enk,[2018],1851,[Miscellaneous Plymouth theatres playbill for Eugene Aram; The Waterman; The Scapegrace],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Eugene Aram,,,,,The Waterman,The Scapegrace,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Eugene Aram; The Waterman; The Scapegrace],Farce,Drama,Musical Entertainment,,,,
89,,online resource,1829.0,,,,,,,text,British Library Playbills Project,enk,[2018],1851,[Miscellaneous Plymouth theatres playbill for Miller's Maid; Irish Tutor; Presumptive Evidence],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Miller's Maid,,,,,Irish Tutor,Presumptive Evidence,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Miller's Maid; Irish Tutor; Presumptive Evidence],Drama,,,,,,
90,,online resource,1830.0,1830.0,,,,,,text,British Library Playbills Project,enk,[2018],1852,"[Miscellaneous Plymouth theatres playbill for Adelaide Or, the Royal William; Napoleon; Follies of Fashion]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Adelaide Or, the Royal William",,,,,Napoleon,Follies of Fashion,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Adelaide Or, the Royal William; Napoleon; Follies of Fashion]",Comedy,Nautical Piece,,,,,
91,,online resource,1827.0,,,,,,,text,British Library Playbills Project,enk,[2018],1867,[Miscellaneous Plymouth theatres playbill for Irishman in London; Lord of the Manor],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Irishman in London,,,,,Lord of the Manor,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Irishman in London; Lord of the Manor],Opera,,,,,,
92,,online resource,1830.0,1830.0,1830.0,,,,,text,British Library Playbills Project,enk,[2018],1868,[Miscellaneous Plymouth theatres playbill for The Robber's Wife; Philip and His Dog; Is He Jealous],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,The Robber's Wife,,,,,Philip and His Dog,Is He Jealous,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Robber's Wife; Philip and His Dog; Is He Jealous],Melodrama,Melodrama,Interlude,,,,
93,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1842,"[Miscellaneous Plymouth theatres playbill for The Scapegoat; Maid or Wife; Peter Wilkins Or, the Flying Islanders]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,The Scapegoat,,,,,Maid or Wife,"Peter Wilkins Or, the Flying Islanders",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Scapegoat; Maid or Wife; Peter Wilkins Or, the Flying Islanders]",,,,,,,
94,,online resource,1829.0,1829.0,1829.0,1829.0,,,,text,British Library Playbills Project,enk,[2018],1865,"[Miscellaneous Plymouth theatres playbill for The Two Gregories; Black-Eyed Susan: Or, All in the Downs; Fish Out of Water; Black-Eyed Susan: Or, All in the Downs]",1 online resource,s,Plymouth,Plymouth,Plymouth,Plymouth,,,,eng,digitised sheet,[British Library],computer,The Two Gregories,,,,,"Black-Eyed Susan: Or, All in the Downs",Fish Out of Water,"Black-Eyed Susan: Or, All in the Downs",,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Two Gregories; Black-Eyed Susan: Or, All in the Downs; Fish Out of Water; Black-Eyed Susan: Or, All in the Downs]",Farce,Nautical Drama,Drama,Interlude,,,
95,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1845,"[Miscellaneous Plymouth theatres playbill for The Bottle Imp; Thirty Years Or, a Gambler's Life]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,The Bottle Imp,,,,,"Thirty Years Or, a Gambler's Life",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Bottle Imp; Thirty Years Or, a Gambler's Life]",,,,,,,
96,,online resource,1830.0,1830.0,1830.0,,,,,text,British Library Playbills Project,enk,[2018],1843,"[Miscellaneous Plymouth theatres playbill for Green-Eyed Monster; Blue Anchor; Or, a Tar for All Weather; Adelaide Or, the Royal William]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Green-Eyed Monster,,,,,"Blue Anchor; Or, a Tar for All Weather","Adelaide Or, the Royal William",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Green-Eyed Monster; Blue Anchor; Or, a Tar for All Weather; Adelaide Or, the Royal William]",Nautical Drama,Nautical Piece,Interlude,,,,
97,,online resource,1829.0,1829.0,1829.0,,,,,text,British Library Playbills Project,enk,[2018],1847,"[Miscellaneous Plymouth theatres playbill for Two Friends; Vampire: Or, the Bride of the Isles; He Lies Like Truth]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Two Friends,,,,,"Vampire: Or, the Bride of the Isles",He Lies Like Truth,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Two Friends; Vampire: Or, the Bride of the Isles; He Lies Like Truth]",Comedy,Interlude,Traditionary Romance,,,,
98,,online resource,1830.0,1830.0,,,,,,text,British Library Playbills Project,enk,[2018],1871,"[Miscellaneous Plymouth theatres playbill for Rochester: Or, King Charles the Second's Merry Days; Gilderoy Or, the Troopers]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Rochester: Or, King Charles the Second's Merry Days",,,,,"Gilderoy Or, the Troopers",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Rochester: Or, King Charles the Second's Merry Days; Gilderoy Or, the Troopers]",Melodrama,Comedy,,,,,
99,,online resource,1828.0,1828.0,,,,,,text,British Library Playbills Project,enk,[2018],1834,[Miscellaneous Plymouth theatres playbill for £100 Note; A Bold Stroke for a Husband],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,£100 Note,,,,,A Bold Stroke for a Husband,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for £100 Note; A Bold Stroke for a Husband],Farce,Comedy,,,,,
100,,online resource,1830.0,1830.0,,,,,,text,British Library Playbills Project,enk,[2018],1858,[Miscellaneous Plymouth theatres playbill for Lady of Munster; Brigand; Maid or Wife; Two Gregories],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Lady of Munster,,,,,Brigand,Maid or Wife,Two Gregories,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Lady of Munster; Brigand; Maid or Wife; Two Gregories],Romantic Drama,Petite Comedy,,,,,
101,,online resource,1833.0,1833.0,,,,,,text,British Library Playbills Project,enk,[2018],1854,"[Miscellaneous Plymouth theatres playbill for The Wedding Day; Othello: Or, the Moor of Venice]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Wedding Day,,,,,"Othello: Or, the Moor of Venice",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Wedding Day; Othello: Or, the Moor of Venice]",Farce,Tragedy,,,,,
102,,online resource,1826.0,1826.0,,,,,,text,British Library Playbills Project,enk,[2018],1842,[Miscellaneous Plymouth theatres playbill for Busy Body; Forty Thieves],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Busy Body,,,,,Forty Thieves,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Busy Body; Forty Thieves],Comedy,Grand Melo-Dramatic Romance,,,,,
103,,online resource,1833.0,1833.0,,,,,,text,British Library Playbills Project,enk,[2018],1858,[Miscellaneous Plymouth theatres playbill for The Poor Gentleman; Captain Stevens],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,The Poor Gentleman,,,,,Captain Stevens,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Poor Gentleman; Captain Stevens],Farce,Comedy,,,,,
104,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1841,"[Miscellaneous Plymouth theatres playbill for Peter Wilkins Or, the Flying Islanders; Animal Magnetism; The Loadstone Rock]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,"Peter Wilkins Or, the Flying Islanders",,,,,Animal Magnetism,The Loadstone Rock,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Peter Wilkins Or, the Flying Islanders; Animal Magnetism; The Loadstone Rock]",,,,,,,
105,,online resource,1826.0,1826.0,1826.0,,,,,text,British Library Playbills Project,enk,[2018],1856,"[Miscellaneous Plymouth theatres playbill for Two Gregories; King Lear and His Three Daughters; Hunter of the Alps Or, the Forest of Savoy]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Two Gregories,,,,,King Lear and His Three Daughters,"Hunter of the Alps Or, the Forest of Savoy",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Two Gregories; King Lear and His Three Daughters; Hunter of the Alps Or, the Forest of Savoy]",Farce,Musical Drama,Grand Historical Play,,,,
106,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1839,[Miscellaneous Plymouth theatres playbill for Rendezvous; Blind Boy; Sweethearts and Wives],1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Rendezvous,,,,,Blind Boy,Sweethearts and Wives,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Rendezvous; Blind Boy; Sweethearts and Wives],Interlude,Comedy,,,,,
107,,online resource,1825.0,,,,,,,text,British Library Playbills Project,enk,[2018],1853,"[Miscellaneous Plymouth theatres playbill for Venice Preserved Or, a Plot Discovered; Tribulation: Or, Unwelcome Visitors]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Venice Preserved Or, a Plot Discovered",,,,,"Tribulation: Or, Unwelcome Visitors",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Venice Preserved Or, a Plot Discovered; Tribulation: Or, Unwelcome Visitors]",Comedy,,,,,,
108,,online resource,1829.0,,,,,,,text,British Library Playbills Project,enk,[2018],1845,[Miscellaneous Plymouth theatres playbill for The Taming of the Shrew; No Song No Supper; The Illustrious Stranger],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Taming of the Shrew,,,,,No Song No Supper,The Illustrious Stranger,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Taming of the Shrew; No Song No Supper; The Illustrious Stranger],Comedy,,,,,,
109,,online resource,1829.0,1829.0,1829.0,,,,,text,British Library Playbills Project,enk,[2018],1851,"[Miscellaneous Plymouth theatres playbill for Illustrious Stranger; Magpie & Maid; Vampire: Or, the Bride of the Isles]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Illustrious Stranger,,,,,Magpie & Maid,"Vampire: Or, the Bride of the Isles",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Illustrious Stranger; Magpie & Maid; Vampire: Or, the Bride of the Isles]",Petite Comedy,Interlude,Traditionary Romance,,,,
110,,online resource,1830.0,1830.0,,,,,,text,British Library Playbills Project,enk,[2018],1849,"[Miscellaneous Plymouth theatres playbill for Adelaide Or, the Royal William; Native Land, Or, Return From Slavery; The £100 Note]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Adelaide Or, the Royal William",,,,,"Native Land, Or, Return From Slavery",The £100 Note,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Adelaide Or, the Royal William; Native Land, Or, Return From Slavery; The £100 Note]",Nautical Piece,Farce,,,,,
111,,online resource,1826.0,1826.0,1826.0,,,,,text,British Library Playbills Project,enk,[2018],1847,"[Miscellaneous Plymouth theatres playbill for Jane Shore; Twas I; The Pilot Or, a Tale of the Sea]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Jane Shore,,,,,Twas I,"The Pilot Or, a Tale of the Sea",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Jane Shore; Twas I; The Pilot Or, a Tale of the Sea]",Tragedy,Musical Farce,Drama,,,,
112,,online resource,1828.0,,,,,,,text,British Library Playbills Project,enk,[2018],1857,"[Miscellaneous Plymouth theatres playbill for Raising the Wind; Peter Wilkins; Or, the Flying Islanders; Romeo and Juliet]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Raising the Wind,,,,,"Peter Wilkins; Or, the Flying Islanders",Romeo and Juliet,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Raising the Wind; Peter Wilkins; Or, the Flying Islanders; Romeo and Juliet]",Tragedy,,,,,,
113,,online resource,1830.0,1830.0,,,,,,text,British Library Playbills Project,enk,[2018],1845,"[Miscellaneous Plymouth theatres playbill for Forest of Bondy Or, the Dog of Montargis; Adelaide Or, the Royal William; Blue Anchor; Or, a Tar for All Weather]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Forest of Bondy Or, the Dog of Montargis",,,,,"Adelaide Or, the Royal William","Blue Anchor; Or, a Tar for All Weather",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Forest of Bondy Or, the Dog of Montargis; Adelaide Or, the Royal William; Blue Anchor; Or, a Tar for All Weather]",Nautical Drama,Nautical Piece,,,,,
114,,online resource,1829.0,1829.0,1829.0,,,,,text,British Library Playbills Project,enk,[2018],1854,"[Miscellaneous Plymouth theatres playbill for Fish Out of Water; Mason of Buda; Charles 12th; Or, the Siege of Stralsund]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Fish Out of Water,,,,,Mason of Buda,"Charles 12th; Or, the Siege of Stralsund",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Fish Out of Water; Mason of Buda; Charles 12th; Or, the Siege of Stralsund]",Comedy,Historical Drama,Musical Farce,,,,
115,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1862,"[Miscellaneous Plymouth theatres playbill for Rienzi; No; The Sister of Charity; Black-Eyed Susan, Or, All in the Downs; The Light Guitar; Must We Then Dearest Maria Now Sever]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Rienzi,,,,,No,The Sister of Charity,"Black-Eyed Susan, Or, All in the Downs",The Light Guitar,Must We Then Dearest Maria Now Sever,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Rienzi; No; The Sister of Charity; Black-Eyed Susan, Or, All in the Downs; The Light Guitar; Must We Then Dearest Maria Now Sever]",Tragedy,Romantic Drama,,,,,
116,,online resource,1827.0,,,,,,,text,British Library Playbills Project,enk,[2018],1829,"[Miscellaneous Plymouth theatres playbill for Black Beard Or, the Captive Princess; Irish Tutor; Three Wishes; Or, Harlequin's Christmas Box]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,"Black Beard Or, the Captive Princess",,,,,Irish Tutor,"Three Wishes; Or, Harlequin's Christmas Box",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Black Beard Or, the Captive Princess; Irish Tutor; Three Wishes; Or, Harlequin's Christmas Box]",Comic Pantomime,,,,,,
117,,online resource,1828.0,,,,,,,text,British Library Playbills Project,enk,[2018],1855,[Miscellaneous Plymouth theatres playbill for Love & Reason; Young Widow; Charles Ii],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Love & Reason,,,,,Young Widow,Charles Ii,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Love & Reason; Young Widow; Charles Ii],Comedy,,,,,,
118,,online resource,1833.0,,,,,,,text,British Library Playbills Project,enk,[2018],1872,"[Miscellaneous Plymouth theatres playbill for Paul and Virginia; Pizarro Or, the Spaniards in Peru]",1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Paul and Virginia,,,,,"Pizarro Or, the Spaniards in Peru",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Paul and Virginia; Pizarro Or, the Spaniards in Peru]",Tragedy,,,,,,
119,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1860,"[Miscellaneous Plymouth theatres playbill for Soldier's Daughter; Peter Wilkins; Or, the Flying Indians]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Soldier's Daughter,,,,,"Peter Wilkins; Or, the Flying Indians",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Soldier's Daughter; Peter Wilkins; Or, the Flying Indians]",Comedy,Grand Melo-Dramatic Romantic Spectacle,,,,,
120,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1857,"[Miscellaneous Plymouth theatres playbill for Red Rover; Masquerade; Napoleon Or, the Emperor and the Soldier]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Red Rover,,,,,Masquerade,"Napoleon Or, the Emperor and the Soldier",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Red Rover; Masquerade; Napoleon Or, the Emperor and the Soldier]",Drama,Exhibition,,,,,
121,,online resource,1828.0,1828.0,1828.0,,,,,text,British Library Playbills Project,enk,[2018],1856,"[Miscellaneous Plymouth theatres playbill for Wedding Day; Rencontre; Or, Love Will Find Out the Way; Modern Antiques: Or, the Merry Mourners]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Wedding Day,,,,,"Rencontre; Or, Love Will Find Out the Way","Modern Antiques: Or, the Merry Mourners",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Wedding Day; Rencontre; Or, Love Will Find Out the Way; Modern Antiques: Or, the Merry Mourners]",Comedy,Interlude,Farce,,,,
122,,online resource,1833.0,1833.0,,,,,,text,British Library Playbills Project,enk,[2018],1849,"[Miscellaneous Plymouth theatres playbill for A Husband at Sight; Wonder Or, a Woman Keeps a Secret]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,A Husband at Sight,,,,,"Wonder Or, a Woman Keeps a Secret",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for A Husband at Sight; Wonder Or, a Woman Keeps a Secret]",Entertainment,Comedy,,,,,
123,,online resource,1830.0,,,,,,,text,British Library Playbills Project,enk,[2018],1844,[Miscellaneous Plymouth theatres playbill for Woman's Love; Brigand],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Woman's Love,,,,,Brigand,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Woman's Love; Brigand],Tragedy,,,,,,
124,,online resource,1826.0,1826.0,1826.0,,,,,text,British Library Playbills Project,enk,[2018],1845,"[Miscellaneous Plymouth theatres playbill for Sailor's Chest; Rendezvous; Exile: Or, the Desart of Siberia]",1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Sailor's Chest,,,,,Rendezvous,"Exile: Or, the Desart of Siberia",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Sailor's Chest; Rendezvous; Exile: Or, the Desart of Siberia]",Musical Drama,Comic Piece,Interlude,,,,
125,,online resource,1833.0,,,,,,,text,British Library Playbills Project,enk,[2018],1863,[Miscellaneous Plymouth theatres playbill for The Spectre Bridegroom; The Castle Spectre],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Spectre Bridegroom,,,,,The Castle Spectre,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Spectre Bridegroom; The Castle Spectre],Play,,,,,,
126,,online resource,1829.0,1829.0,1829.0,,,,,text,British Library Playbills Project,enk,[2018],1853,[Miscellaneous Plymouth theatres playbill for Actress of All Work; The Heart of Mid-Lothian; Jack Robinson and His Monkey],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Actress of All Work,,,,,The Heart of Mid-Lothian,Jack Robinson and His Monkey,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Actress of All Work; The Heart of Mid-Lothian; Jack Robinson and His Monkey],Interlude,Melo-Drame,Melo-Drame,,,,
127,,online resource,1828.0,1828.0,1828.0,,,,,text,British Library Playbills Project,enk,[2018],1837,[Miscellaneous Plymouth theatres playbill for Wives as They Were and Maids as They Are; Personation; Highland Reel],1 online resource,s,Plymouth,Plymouth,Plymouth,,,,,eng,digitised sheet,[British Library],computer,Wives as They Were and Maids as They Are,,,,,Personation,Highland Reel,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Wives as They Were and Maids as They Are; Personation; Highland Reel],Farce,Comedy,Interlude,,,,
128,,online resource,1829.0,,,,,,,text,British Library Playbills Project,enk,[2018],1870,[Miscellaneous Plymouth theatres playbill for The Slave; Poor Soldier; The Waterman],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,The Slave,,,,,Poor Soldier,The Waterman,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Slave; Poor Soldier; The Waterman],Opera,,,,,,
129,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1854,"[Miscellaneous Plymouth theatres playbill for Wood Demon Or, the Clock Has Struck; Vampire: Or, the Bride of the Isles]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,"Wood Demon Or, the Clock Has Struck",,,,,"Vampire: Or, the Bride of the Isles",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Wood Demon Or, the Clock Has Struck; Vampire: Or, the Bride of the Isles]",Romantic Drama,Traditionary Romance,,,,,
130,,online resource,1829.0,1829.0,,,,,,text,British Library Playbills Project,enk,[2018],1867,"[Miscellaneous Plymouth theatres playbill for Devil's Bridge; Invincibles; Ou, Les Femmes Soldats]",1 online resource,s,Plymouth,Plymouth,,,,,,eng,digitised sheet,[British Library],computer,Devil's Bridge,,,,,"Invincibles; Ou, Les Femmes Soldats",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Devil's Bridge; Invincibles; Ou, Les Femmes Soldats]",Opera,Farce,,,,,
131,,online resource,1827.0,,,,,,,text,British Library Playbills Project,enk,[2018],1853,[Miscellaneous Plymouth theatres playbill for Twixt the Cup and the Lip; Rival Valets; Warlock of the Glen],1 online resource,s,Plymouth,,,,,,,eng,digitised sheet,[British Library],computer,Twixt the Cup and the Lip,,,,,Rival Valets,Warlock of the Glen,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Twixt the Cup and the Lip; Rival Valets; Warlock of the Glen],Comic Farce,,,,,,
